Fecha Hora Corriente
2025-01-10 15:17:34 6.25
2025-01-10 15:17:34 1.27
2025-01-10 15:17:34 0.20
2025-01-10 15:17:35 0.05
2025-01-10 15:17:35 0.04
2025-01-10 15:17:35 0.04
2025-01-10 15:17:35 0.04
2025-01-10 15:17:35 0.06
2025-01-10 15:17:35 0.05
2025-01-10 15:17:35 0.05
2025-01-10 15:17:35 0.04
2025-01-10 15:17:35 0.02
2025-01-10 15:17:35 0.03
2025-01-10 15:17:35 0.05
2025-01-10 15:17:35 0.04
2025-01-10 15:17:35 0.06
2025-01-10 15:17:35 0.05
2025-01-10 15:17:36 0.04
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.04
2025-01-10 15:17:36 0.04
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.04
2025-01-10 15:17:36 0.04
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.03
2025-01-10 15:17:36 0.03
2025-01-10 15:17:37 0.04
2025-01-10 15:17:37 0.03
2025-01-10 15:17:37 0.07
2025-01-10 15:17:37 0.04
2025-01-10 15:17:37 0.04
2025-01-10 15:17:37 0.04
2025-01-10 15:17:37 0.11
2025-01-10 15:17:37 0.04
2025-01-10 15:17:37 0.06
2025-01-10 15:17:37 0.05
2025-01-10 15:17:37 0.05
2025-01-10 15:17:37 0.03
2025-01-10 15:17:37 0.05
2025-01-10 15:17:37 0.05
2025-01-10 15:17:38 0.03
2025-01-10 15:17:38 0.02
2025-01-10 15:17:38 0.03
2025-01-10 15:17:38 0.04
2025-01-10 15:17:38 0.06
2025-01-10 15:17:38 0.03
2025-01-10 15:17:38 0.03
2025-01-10 15:17:38 0.03
2025-01-10 15:17:38 0.07
2025-01-10 15:17:38 0.04
2025-01-10 15:17:38 0.06
2025-01-10 15:17:38 0.03
2025-01-10 15:17:38 0.04
2025-01-10 15:17:38 0.05
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.03
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.03
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.03
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.03
2025-01-10 15:17:39 0.02
2025-01-10 15:17:39 0.04
2025-01-10 15:17:39 0.04
2025-01-10 15:17:40 0.03
2025-01-10 15:17:40 0.04
2025-01-10 15:17:40 0.04
2025-01-10 15:17:40 0.05
2025-01-10 15:17:40 0.02
2025-01-10 15:17:40 0.04
2025-01-10 15:17:40 0.02
2025-01-10 15:17:40 0.02
2025-01-10 15:17:40 0.01
2025-01-10 15:17:40 0.04
2025-01-10 15:17:40 0.05
2025-01-10 15:17:40 0.04
2025-01-10 15:17:40 0.04
2025-01-10 15:17:40 0.02
2025-01-10 15:17:41 0.03
2025-01-10 15:17:41 0.04
2025-01-10 15:17:41 0.03
2025-01-10 15:17:41 0.04
2025-01-10 15:17:41 0.04
2025-01-10 15:17:41 0.02
2025-01-10 15:17:41 0.04
2025-01-10 15:17:41 0.03
2025-01-10 15:17:41 0.05
2025-01-10 15:17:41 0.02
2025-01-10 15:17:41 0.03
2025-01-10 15:17:41 0.05
2025-01-10 15:17:41 0.03
2025-01-10 15:17:41 0.03
2025-01-10 15:17:42 0.03
2025-01-10 15:17:42 0.03
2025-01-10 15:17:42 0.02
2025-01-10 15:17:42 0.04
