Date Time Milliseconds
2025/1/10 15:27:38 741.00
2025/1/10 15:27:39 1275.00
2025/1/10 15:27:39 1967.00
2025/1/10 15:27:40 2540.00
2025/1/10 15:27:41 3194.00
2025/1/10 15:27:43 Stopped
2025/1/10 15:27:45 Stopped
2025/1/10 15:27:47 Stopped
2025/1/10 15:27:47 9657.00
2025/1/10 15:27:49 11277.00
2025/1/10 15:27:50 12616.00
2025/1/10 15:27:51 13188.00
2025/1/10 15:27:51 13761.00
2025/1/10 15:27:52 14212.00
2025/1/10 15:27:52 14463.00
2025/1/10 15:27:52 14713.00
2025/1/10 15:27:52 14887.00
2025/1/10 15:27:53 15097.00
2025/1/10 15:27:53 15382.00
2025/1/10 15:27:53 15793.00
2025/1/10 15:27:55 Stopped
2025/1/10 15:27:57 Stopped
2025/1/10 15:27:58 20298.00
2025/1/10 15:27:59 21150.00
2025/1/10 15:27:59 21763.00
2025/1/10 15:28:0 22376.00
2025/1/10 15:28:1 23031.00
2025/1/10 15:28:2 24047.00
2025/1/10 15:28:2 24941.00
2025/1/10 15:28:3 25673.00
2025/1/10 15:28:4 26125.00
2025/1/10 15:28:4 26456.00
2025/1/10 15:28:4 26746.00
2025/1/10 15:28:4 26997.00
2025/1/10 15:28:5 27248.00
2025/1/10 15:28:5 27499.00
2025/1/10 15:28:5 27755.00
2025/1/10 15:28:6 28006.00
2025/1/10 15:28:6 28257.00
2025/1/10 15:28:6 28467.00
2025/1/10 15:28:6 28677.00
2025/1/10 15:28:6 28887.00
2025/1/10 15:28:7 29058.00
2025/1/10 15:28:7 29309.00
2025/1/10 15:28:7 29520.00
2025/1/10 15:28:7 29772.00
2025/1/10 15:28:8 30023.00
2025/1/10 15:28:8 30273.00
2025/1/10 15:28:8 30524.00
2025/1/10 15:28:8 30734.00
2025/1/10 15:28:8 30945.00
2025/1/10 15:28:9 31155.00
2025/1/10 15:28:9 31366.00
2025/1/10 15:28:9 31567.00
2025/1/10 15:28:9 31779.00
2025/1/10 15:28:9 31949.00
2025/1/10 15:28:10 32082.00
2025/1/10 15:28:10 32252.00
2025/1/10 15:28:10 32382.00
2025/1/10 15:28:10 32552.00
2025/1/10 15:28:10 32723.00
2025/1/10 15:28:10 32853.00
2025/1/10 15:28:11 33023.00
2025/1/10 15:28:11 33153.00
2025/1/10 15:28:11 33285.00
2025/1/10 15:28:11 33416.00
2025/1/10 15:28:11 33666.00
2025/1/10 15:28:11 33917.00
2025/1/10 15:28:12 34046.00
2025/1/10 15:28:12 34136.00
2025/1/10 15:28:12 34266.00
2025/1/10 15:28:12 34396.00
2025/1/10 15:28:12 34528.00
2025/1/10 15:28:12 34698.00
2025/1/10 15:28:12 34909.00
2025/1/10 15:28:13 35362.00
2025/1/10 15:28:14 36422.00
2025/1/10 15:28:15 37680.00
2025/1/10 15:28:16 38091.00
2025/1/10 15:28:16 38503.00
2025/1/10 15:28:16 38995.00
2025/1/10 15:28:17 39406.00
2025/1/10 15:28:17 39697.00
2025/1/10 15:28:17 39950.00
2025/1/10 15:28:18 40242.00
2025/1/10 15:28:18 40573.00
2025/1/10 15:28:18 40990.00
2025/1/10 15:28:19 41321.00
2025/1/10 15:28:19 41652.00
2025/1/10 15:28:19 41945.00
2025/1/10 15:28:20 42275.00
2025/1/10 15:28:20 42687.00
2025/1/10 15:28:21 43260.00
2025/1/10 15:28:23 Stopped
2025/1/10 15:28:23 45979.00
2025/1/10 15:28:25 Stopped
2025/1/10 15:28:28 Stopped
2025/1/10 15:28:30 Stopped
2025/1/10 15:28:32 Stopped
2025/1/10 15:28:34 Stopped
2025/1/10 15:28:36 Stopped
2025/1/10 15:28:38 Stopped
2025/1/10 15:28:40 Stopped
