Fecha,Hora,Corriente(A)
22/1/2025,15:10:31,0.54
22/1/2025,15:10:31,0.08
22/1/2025,15:10:31,0.24
22/1/2025,15:10:31,0.24
22/1/2025,15:10:31,0.24
22/1/2025,15:10:31,0.24
22/1/2025,15:10:31,0.24
22/1/2025,15:10:31,0.39
22/1/2025,15:10:31,0.54
22/1/2025,15:10:31,0.08
22/1/2025,15:10:32,0.39
22/1/2025,15:10:32,0.54
22/1/2025,15:10:32,0.24
22/1/2025,15:10:32,0.08
22/1/2025,15:10:32,0.39
22/1/2025,15:10:32,0.39
22/1/2025,15:10:32,0.24
22/1/2025,15:10:32,0.24
22/1/2025,15:10:32,0.39
22/1/2025,15:10:32,0.54
22/1/2025,15:10:33,0.08
22/1/2025,15:10:33,-1.31
22/1/2025,15:10:33,0.24
22/1/2025,15:10:33,0.24
22/1/2025,15:10:33,0.39
22/1/2025,15:10:33,0.08
22/1/2025,15:10:33,0.54
22/1/2025,15:10:33,0.54
22/1/2025,15:10:33,0.39
22/1/2025,15:10:33,0.39
22/1/2025,15:10:34,0.24
22/1/2025,15:10:34,0.39
22/1/2025,15:10:34,0.24
22/1/2025,15:10:34,0.24
22/1/2025,15:10:34,0.24
22/1/2025,15:10:34,0.24
22/1/2025,15:10:34,0.39
22/1/2025,15:10:34,0.08
22/1/2025,15:10:34,0.24
22/1/2025,15:10:34,0.39
22/1/2025,15:10:35,0.24
22/1/2025,15:10:35,0.08
22/1/2025,15:10:35,0.39
22/1/2025,15:10:35,0.54
22/1/2025,15:10:35,0.24
22/1/2025,15:10:35,0.08
22/1/2025,15:10:35,0.54
22/1/2025,15:10:35,0.54
22/1/2025,15:10:35,-0.54
22/1/2025,15:10:35,0.24
22/1/2025,15:10:36,0.54
22/1/2025,15:10:36,0.54
22/1/2025,15:10:36,0.54
22/1/2025,15:10:36,0.24
22/1/2025,15:10:36,0.54
22/1/2025,15:10:36,0.24
22/1/2025,15:10:36,0.24
22/1/2025,15:10:36,0.39
22/1/2025,15:10:36,0.24
22/1/2025,15:10:36,0.24
22/1/2025,15:10:37,0.7
22/1/2025,15:10:37,0.24
22/1/2025,15:10:37,0.08
22/1/2025,15:10:37,0.7
22/1/2025,15:10:37,0.24
22/1/2025,15:10:37,0.08
22/1/2025,15:10:37,0.54
22/1/2025,15:10:37,0.24
22/1/2025,15:10:37,0.24
22/1/2025,15:10:37,0.39
22/1/2025,15:10:38,0.54
22/1/2025,15:10:38,0.54
22/1/2025,15:10:38,0.54
22/1/2025,15:10:38,0.39
22/1/2025,15:10:38,0.24
22/1/2025,15:10:38,0.54
22/1/2025,15:10:38,0.24
22/1/2025,15:10:38,0.24
22/1/2025,15:10:38,0.24
22/1/2025,15:10:38,0.24
22/1/2025,15:10:39,0.24
22/1/2025,15:10:39,0.08
22/1/2025,15:10:39,0.54
22/1/2025,15:10:39,0.24
22/1/2025,15:10:39,0.24
22/1/2025,15:10:39,0.24
22/1/2025,15:10:39,0.39
22/1/2025,15:10:39,0.54
22/1/2025,15:10:39,0.24
22/1/2025,15:10:39,0.54
22/1/2025,15:10:40,0.39
22/1/2025,15:10:40,0.7
22/1/2025,15:10:40,0.24
22/1/2025,15:10:40,0.24
22/1/2025,15:10:40,0.24
22/1/2025,15:10:40,0.24
22/1/2025,15:10:40,0.08
22/1/2025,15:10:40,0.08
22/1/2025,15:10:40,0.24
22/1/2025,15:10:40,0.7
22/1/2025,15:10:41,0.54
22/1/2025,15:10:41,0.54
22/1/2025,15:10:41,0.39
22/1/2025,15:10:41,0.24
22/1/2025,15:10:41,0.39
22/1/2025,15:10:41,0.39
22/1/2025,15:10:41,0.39
22/1/2025,15:10:41,-0.38
22/1/2025,15:10:41,0.24
22/1/2025,15:10:41,0.39
22/1/2025,15:10:42,0.54
22/1/2025,15:10:42,0.54
22/1/2025,15:10:42,0.39
22/1/2025,15:10:42,0.24
22/1/2025,15:10:42,0.54
22/1/2025,15:10:42,0.24
22/1/2025,15:10:42,0.08
22/1/2025,15:10:42,0.08
22/1/2025,15:10:42,0.7
22/1/2025,15:10:42,0.7
22/1/2025,15:10:43,0.24
22/1/2025,15:10:43,0.24
22/1/2025,15:10:43,0.39
22/1/2025,15:10:43,0.24
22/1/2025,15:10:43,0.54
22/1/2025,15:10:43,-0.54
22/1/2025,15:10:43,0.24
22/1/2025,15:10:43,0.24
22/1/2025,15:10:43,0.24
22/1/2025,15:10:43,0.24
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.39
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.39
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.24
22/1/2025,15:10:44,0.39
22/1/2025,15:10:45,0.39
22/1/2025,15:10:45,0.24
22/1/2025,15:10:45,0.54
22/1/2025,15:10:45,0.24
22/1/2025,15:10:45,0.54
22/1/2025,15:10:45,0.24
22/1/2025,15:10:45,0.54
22/1/2025,15:10:45,0.54
22/1/2025,15:10:45,0.54
22/1/2025,15:10:45,0.39
22/1/2025,15:10:46,0.39
22/1/2025,15:10:46,0.24
22/1/2025,15:10:46,0.24
22/1/2025,15:10:46,0.24
22/1/2025,15:10:46,0.7
22/1/2025,15:10:46,0.7
22/1/2025,15:10:46,0.54
22/1/2025,15:10:46,0.24
22/1/2025,15:10:46,0.39
22/1/2025,15:10:46,0.24
22/1/2025,15:10:47,0.24
22/1/2025,15:10:47,0.24
22/1/2025,15:10:47,0.54
22/1/2025,15:10:47,0.24
22/1/2025,15:10:47,0.08
22/1/2025,15:10:47,-0.23
22/1/2025,15:10:47,0.24
22/1/2025,15:10:47,-0.23
22/1/2025,15:10:47,-0.38
22/1/2025,15:10:47,-0.38
22/1/2025,15:10:48,-0.23
22/1/2025,15:10:48,-0.07
22/1/2025,15:10:48,-0.38
22/1/2025,15:10:48,-0.23
22/1/2025,15:10:48,0.08
22/1/2025,15:10:48,-0.07
22/1/2025,15:10:48,-0.23
22/1/2025,15:10:48,-0.23
22/1/2025,15:10:48,0.08
22/1/2025,15:10:48,0.24
22/1/2025,15:10:49,-0.07
22/1/2025,15:10:49,-0.07
22/1/2025,15:10:49,-0.23
22/1/2025,15:10:49,-0.07
22/1/2025,15:10:49,-0.38
22/1/2025,15:10:49,-0.23
22/1/2025,15:10:49,-0.07
22/1/2025,15:10:49,-0.07
22/1/2025,15:10:49,-0.23
22/1/2025,15:10:49,-0.23
22/1/2025,15:10:50,-0.23
22/1/2025,15:10:50,-0.23
22/1/2025,15:10:50,0.08
22/1/2025,15:10:50,-0.23
22/1/2025,15:10:50,-0.07
22/1/2025,15:10:50,0.08
22/1/2025,15:10:50,0.08
22/1/2025,15:10:50,-0.23
22/1/2025,15:10:50,-0.23
22/1/2025,15:10:50,0.08
22/1/2025,15:10:51,-0.38
22/1/2025,15:10:51,-0.07
22/1/2025,15:10:51,-0.23
22/1/2025,15:10:51,-0.07
22/1/2025,15:10:51,-0.38
22/1/2025,15:10:51,-0.23
22/1/2025,15:10:51,-0.07
22/1/2025,15:10:51,-0.23
22/1/2025,15:10:51,-0.07
22/1/2025,15:10:51,-0.07
22/1/2025,15:10:52,-0.07
22/1/2025,15:10:52,0.08
22/1/2025,15:10:52,-0.07
22/1/2025,15:10:52,-0.07
22/1/2025,15:10:52,-0.23
22/1/2025,15:10:52,0.08
22/1/2025,15:10:52,-0.23
22/1/2025,15:10:52,-0.23
22/1/2025,15:10:52,0.08
22/1/2025,15:10:52,0.08
22/1/2025,15:10:53,-0.38
22/1/2025,15:10:53,-0.23
22/1/2025,15:10:53,0.08
22/1/2025,15:10:53,-0.23
22/1/2025,15:10:53,-1.31
22/1/2025,15:10:53,-0.38
22/1/2025,15:10:53,0.08
22/1/2025,15:10:53,-0.23
22/1/2025,15:10:53,-0.23
22/1/2025,15:10:53,-0.07
22/1/2025,15:10:54,-0.23
22/1/2025,15:10:54,-0.07
22/1/2025,15:10:54,-0.07
22/1/2025,15:10:54,0.08
22/1/2025,15:10:54,-0.07
22/1/2025,15:10:54,-0.07
22/1/2025,15:10:54,-0.07
22/1/2025,15:10:54,0.08
22/1/2025,15:10:54,-0.23
22/1/2025,15:10:54,-0.07
22/1/2025,15:10:55,-0.38
22/1/2025,15:10:55,-0.07
22/1/2025,15:10:55,-0.07
22/1/2025,15:10:55,0.08
22/1/2025,15:10:55,-0.69
22/1/2025,15:10:55,-0.38
22/1/2025,15:10:55,-0.23
22/1/2025,15:10:55,0.24
22/1/2025,15:10:55,-0.38
22/1/2025,15:10:55,0.08
22/1/2025,15:10:56,0.08
22/1/2025,15:10:56,0.08
22/1/2025,15:10:56,-0.38
22/1/2025,15:10:56,-1.46
22/1/2025,15:10:56,0.08
22/1/2025,15:10:56,-0.23
22/1/2025,15:10:56,-0.23
22/1/2025,15:10:56,-0.07
22/1/2025,15:10:56,-0.23
22/1/2025,15:10:56,-0.23
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.38
22/1/2025,15:10:57,0.24
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.23
22/1/2025,15:10:57,-0.07
22/1/2025,15:10:58,-0.23
22/1/2025,15:10:58,-0.07
22/1/2025,15:10:58,0.08
22/1/2025,15:10:58,-0.23
22/1/2025,15:10:58,-0.23
22/1/2025,15:10:58,-0.23
22/1/2025,15:10:58,-0.07
22/1/2025,15:10:58,-0.23
22/1/2025,15:10:58,-0.38
22/1/2025,15:10:58,-0.07
22/1/2025,15:10:59,0.08
22/1/2025,15:10:59,-0.23
