Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/22 9:37:6 20.15 293.00 0
2025/1/22 9:37:6 20.15 293.00 0
2025/1/22 9:37:6 20.19 293.00 0
2025/1/22 9:37:7 20.13 293.00 0
2025/1/22 9:37:7 20.25 294.00 0
2025/1/22 9:37:7 20.13 294.00 0
2025/1/22 9:37:7 20.05 294.00 0
2025/1/22 9:37:8 20.17 294.00 0
2025/1/22 9:37:8 20.11 294.00 0
2025/1/22 9:37:8 20.13 294.00 0
2025/1/22 9:37:8 20.13 294.00 0
2025/1/22 9:37:9 20.13 294.00 0
2025/1/22 9:37:9 20.13 294.00 0
2025/1/22 9:37:9 20.11 294.00 0
2025/1/22 9:37:9 20.09 294.00 0
2025/1/22 9:37:10 20.21 294.00 0
2025/1/22 9:37:10 20.17 294.00 0
2025/1/22 9:37:10 20.09 294.00 0
2025/1/22 9:37:10 20.13 294.00 0
2025/1/22 9:37:10 20.15 294.00 0
2025/1/22 9:37:11 20.05 294.00 0
2025/1/22 9:37:11 20.03 294.00 0
2025/1/22 9:37:11 20.07 294.00 0
2025/1/22 9:37:11 20.09 294.00 0
2025/1/22 9:37:12 20.15 294.00 0
2025/1/22 9:37:12 20.09 294.00 0
2025/1/22 9:37:12 20.13 294.00 0
2025/1/22 9:37:12 20.17 294.00 0
2025/1/22 9:37:13 20.01 294.00 0
2025/1/22 9:37:13 20.09 294.00 0
2025/1/22 9:37:13 20.23 294.00 0
2025/1/22 9:37:13 20.15 294.00 0
2025/1/22 9:37:14 20.09 294.00 0
2025/1/22 9:37:14 20.17 294.00 0
2025/1/22 9:37:14 20.07 294.00 0
2025/1/22 9:37:14 20.05 294.00 0
2025/1/22 9:37:14 20.07 294.00 0
2025/1/22 9:37:15 20.09 294.00 0
2025/1/22 9:37:15 20.13 294.00 0
2025/1/22 9:37:15 20.19 294.00 0
2025/1/22 9:37:15 20.07 294.00 0
2025/1/22 9:37:16 20.07 294.00 0
2025/1/22 9:37:16 20.11 294.00 0
2025/1/22 9:37:16 20.11 294.00 0
2025/1/22 9:37:16 20.15 294.00 0
2025/1/22 9:37:17 20.05 294.00 0
2025/1/22 9:37:17 20.13 294.00 0
2025/1/22 9:37:17 20.13 294.00 0
2025/1/22 9:37:17 20.15 294.00 0
2025/1/22 9:37:18 20.13 294.00 0
2025/1/22 9:37:18 20.13 294.00 0
2025/1/22 9:37:18 20.15 294.00 0
2025/1/22 9:37:18 20.07 294.00 0
2025/1/22 9:37:18 20.07 294.00 0
2025/1/22 9:37:19 20.15 294.00 0
2025/1/22 9:37:19 20.11 294.00 0
2025/1/22 9:37:19 20.11 294.00 0
2025/1/22 9:37:19 20.15 294.00 0
2025/1/22 9:37:20 20.15 294.00 0
2025/1/22 9:37:20 20.07 294.00 0
2025/1/22 9:37:20 20.21 294.00 0
2025/1/22 9:37:20 20.17 294.00 0
2025/1/22 9:37:21 20.15 294.00 0
2025/1/22 9:37:21 20.17 294.00 0
2025/1/22 9:37:21 20.17 294.00 0
2025/1/22 9:37:21 20.15 294.00 0
2025/1/22 9:37:22 20.15 294.00 0
2025/1/22 9:37:22 20.09 294.00 0
2025/1/22 9:37:22 20.13 294.00 0
2025/1/22 9:37:22 20.09 294.00 0
2025/1/22 9:37:22 20.13 294.00 0
2025/1/22 9:37:23 20.17 294.00 0
2025/1/22 9:37:23 20.15 294.00 0
2025/1/22 9:37:23 20.05 294.00 0
2025/1/22 9:37:23 20.13 294.00 0
2025/1/22 9:37:24 20.15 294.00 0
2025/1/22 9:37:24 20.15 294.00 0
2025/1/22 9:37:24 20.15 294.00 0
2025/1/22 9:37:24 20.13 294.00 0
2025/1/22 9:37:25 20.17 294.00 0
2025/1/22 9:37:25 20.07 294.00 0
2025/1/22 9:37:25 20.15 294.00 0
2025/1/22 9:37:25 20.19 294.00 0
2025/1/22 9:37:26 20.13 294.00 0
2025/1/22 9:37:26 20.17 294.00 0
2025/1/22 9:37:26 20.13 294.00 0
2025/1/22 9:37:26 20.13 294.00 0
2025/1/22 9:37:27 20.09 294.00 0
2025/1/22 9:37:27 20.13 294.00 0
2025/1/22 9:37:27 20.15 293.00 0
2025/1/22 9:37:27 20.15 294.00 0
2025/1/22 9:37:27 20.09 294.00 0
2025/1/22 9:37:28 20.13 294.00 0
2025/1/22 9:37:28 20.21 294.00 0
2025/1/22 9:37:28 20.11 294.00 0
2025/1/22 9:37:28 20.19 294.00 0
2025/1/22 9:37:29 20.13 294.00 0
2025/1/22 9:37:29 20.15 294.00 0
2025/1/22 9:37:29 20.11 294.00 0
2025/1/22 9:37:29 20.15 294.00 0
2025/1/22 9:37:30 20.13 294.00 0
2025/1/22 9:37:30 20.15 294.00 0
2025/1/22 9:37:30 20.07 294.00 0
2025/1/22 9:37:30 20.11 294.00 0
2025/1/22 9:37:31 20.13 294.00 0
2025/1/22 9:37:31 20.13 294.00 0
2025/1/22 9:37:31 20.17 294.00 0
