Fecha Hora Corriente(A)
2025/1/22 9:58:27 1.07
2025/1/22 9:58:27 0.41
2025/1/22 9:58:27 0.28
2025/1/22 9:58:27 0.31
2025/1/22 9:58:27 0.20
2025/1/22 9:58:27 0.25
2025/1/22 9:58:27 0.19
2025/1/22 9:58:27 0.24
2025/1/22 9:58:27 0.26
2025/1/22 9:58:27 0.24
2025/1/22 9:58:27 0.26
2025/1/22 9:58:27 0.25
2025/1/22 9:58:27 0.26
2025/1/22 9:58:28 0.25
2025/1/22 9:58:28 0.25
2025/1/22 9:58:28 0.20
2025/1/22 9:58:28 0.23
2025/1/22 9:58:28 0.22
2025/1/22 9:58:28 0.17
2025/1/22 9:58:28 0.19
2025/1/22 9:58:28 0.18
2025/1/22 9:58:28 0.19
2025/1/22 9:58:28 0.21
2025/1/22 9:58:28 0.23
2025/1/22 9:58:28 0.26
2025/1/22 9:58:28 0.23
2025/1/22 9:58:29 0.24
2025/1/22 9:58:29 0.25
2025/1/22 9:58:29 0.22
2025/1/22 9:58:29 0.27
2025/1/22 9:58:29 0.21
2025/1/22 9:58:29 0.23
2025/1/22 9:58:29 0.24
2025/1/22 9:58:29 0.22
2025/1/22 9:58:29 0.21
2025/1/22 9:58:29 0.25
2025/1/22 9:58:29 0.25
2025/1/22 9:58:29 0.23
2025/1/22 9:58:29 0.23
2025/1/22 9:58:29 0.25
2025/1/22 9:58:30 0.22
2025/1/22 9:58:30 0.22
2025/1/22 9:58:30 0.22
2025/1/22 9:58:30 0.24
2025/1/22 9:58:30 0.20
2025/1/22 9:58:30 0.22
2025/1/22 9:58:30 0.20
2025/1/22 9:58:30 0.20
2025/1/22 9:58:30 0.18
2025/1/22 9:58:30 0.19
2025/1/22 9:58:30 0.24
2025/1/22 9:58:30 0.22
2025/1/22 9:58:30 0.18
2025/1/22 9:58:30 0.17
2025/1/22 9:58:31 0.20
2025/1/22 9:58:31 0.22
2025/1/22 9:58:31 0.16
2025/1/22 9:58:31 0.18
2025/1/22 9:58:31 0.14
2025/1/22 9:58:31 0.13
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.10
2025/1/22 9:58:31 0.09
2025/1/22 9:58:31 0.11
2025/1/22 9:58:31 0.10
2025/1/22 9:58:27 6.11
2025/1/22 9:58:27 1.21
2025/1/22 9:58:27 0.17
2025/1/22 9:58:27 0.01
2025/1/22 9:58:27 0.15
2025/1/22 9:58:27 0.14
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.03
2025/1/22 9:58:27 0.17
2025/1/22 9:58:27 0.15
2025/1/22 9:58:27 0.16
2025/1/22 9:58:27 0.17
2025/1/22 9:58:27 0.14
2025/1/22 9:58:28 0.00
2025/1/22 9:58:28 0.18
2025/1/22 9:58:28 0.15
2025/1/22 9:58:28 0.18
2025/1/22 9:58:28 0.01
2025/1/22 9:58:28 0.12
2025/1/22 9:58:28 0.18
2025/1/22 9:58:28 0.12
2025/1/22 9:58:28 0.20
2025/1/22 9:58:28 0.16
2025/1/22 9:58:28 0.14
2025/1/22 9:58:28 0.13
2025/1/22 9:58:28 0.16
2025/1/22 9:58:28 0.17
2025/1/22 9:58:29 0.13
2025/1/22 9:58:29 0.14
2025/1/22 9:58:29 0.18
2025/1/22 9:58:29 0.18
2025/1/22 9:58:29 0.14
2025/1/22 9:58:29 0.14
2025/1/22 9:58:29 0.14
2025/1/22 9:58:29 0.17
2025/1/22 9:58:29 0.18
2025/1/22 9:58:29 0.14
2025/1/22 9:58:29 0.16
2025/1/22 9:58:29 0.16
2025/1/22 9:58:29 0.16
2025/1/22 9:58:29 0.18
2025/1/22 9:58:30 0.15
2025/1/22 9:58:30 0.13
2025/1/22 9:58:30 0.03
2025/1/22 9:58:30 0.16
2025/1/22 9:58:30 0.01
2025/1/22 9:58:30 0.02
2025/1/22 9:58:30 0.18
2025/1/22 9:58:30 0.18
2025/1/22 9:58:30 0.05
2025/1/22 9:58:30 0.14
2025/1/22 9:58:30 0.13
2025/1/22 9:58:30 0.20
2025/1/22 9:58:30 0.03
2025/1/22 9:58:31 0.17
2025/1/22 9:58:31 0.18
2025/1/22 9:58:27 1.11
2025/1/22 9:58:27 4.41
2025/1/22 9:58:27 3.65
2025/1/22 9:58:27 1.31
2025/1/22 9:58:27 0.21
