Fecha Tiempo Corriente
2025/1/15 12:43:42 13.51
2025/1/15 12:43:42 12.17
2025/1/15 12:43:42 12.05
2025/1/15 12:43:42 11.80
2025/1/15 12:43:42 11.87
2025/1/15 12:43:42 12.21
2025/1/15 12:43:42 12.02
2025/1/15 12:43:42 11.87
2025/1/15 12:43:42 12.09
2025/1/15 12:43:42 12.31
2025/1/15 12:43:42 12.01
2025/1/15 12:43:42 11.93
2025/1/15 12:43:43 12.24
2025/1/15 12:43:42 13.55
2025/1/15 12:43:42 12.27
2025/1/15 12:43:42 12.61
2025/1/15 12:43:42 12.59
2025/1/15 12:43:42 12.33
2025/1/15 12:43:42 12.42
2025/1/15 12:43:42 12.77
2025/1/15 12:43:42 12.53
2025/1/15 12:43:42 12.45
2025/1/15 12:43:42 12.42
2025/1/15 12:43:42 12.79
2025/1/15 12:43:42 12.74
2025/1/15 12:43:43 12.48
2025/1/15 12:43:43 12.58
2025/1/15 12:43:43 12.93
2025/1/15 12:43:43 12.70
2025/1/15 12:43:43 12.52
2025/1/15 12:43:43 12.75
2025/1/15 12:43:43 13.02
2025/1/15 12:43:43 12.69
2025/1/15 12:43:43 12.60
2025/1/15 12:43:43 12.93
2025/1/15 12:43:43 13.03
2025/1/15 12:43:43 12.71
2025/1/15 12:43:43 12.73
2025/1/15 12:43:44 13.10
2025/1/15 12:43:44 12.99
2025/1/15 12:43:44 12.75
2025/1/15 12:43:44 12.74
2025/1/15 12:43:44 13.03
2025/1/15 12:43:44 13.18
2025/1/15 12:43:44 12.85
2025/1/15 12:43:44 12.81
2025/1/15 12:43:44 13.18
2025/1/15 12:43:44 13.14
2025/1/15 12:43:44 12.84
2025/1/15 12:43:44 13.10
2025/1/15 12:43:44 13.25
2025/1/15 12:43:45 12.91
2025/1/15 12:43:45 13.08
2025/1/15 12:43:45 13.35
2025/1/15 12:43:45 12.98
2025/1/15 12:43:45 13.05
2025/1/15 12:43:45 13.46
2025/1/15 12:43:45 13.01
2025/1/15 12:43:45 12.92
2025/1/15 12:43:45 13.40
2025/1/15 12:43:45 13.15
2025/1/15 12:43:45 13.00
2025/1/15 12:43:45 13.26
2025/1/15 12:43:45 13.42
2025/1/15 12:43:46 13.06
2025/1/15 12:43:46 13.23
2025/1/15 12:43:46 13.57
2025/1/15 12:43:46 13.21
2025/1/15 12:43:46 13.23
2025/1/15 12:43:46 13.64
2025/1/15 12:43:46 13.25
2025/1/15 12:43:46 13.19
2025/1/15 12:43:46 13.63
2025/1/15 12:43:46 13.39
2025/1/15 12:43:46 13.23
2025/1/15 12:43:46 13.65
2025/1/15 12:43:46 13.48
2025/1/15 12:43:47 13.24
2025/1/15 12:43:47 13.53
2025/1/15 12:43:47 13.61
2025/1/15 12:43:47 13.29
2025/1/15 12:43:47 13.59
2025/1/15 12:43:47 13.83
2025/1/15 12:43:47 13.49
2025/1/15 12:43:47 13.39
2025/1/15 12:43:47 13.82
2025/1/15 12:43:47 13.61
2025/1/15 12:43:47 13.39
2025/1/15 12:43:47 13.79
2025/1/15 12:43:47 13.74
2025/1/15 12:43:48 13.43
2025/1/15 12:43:48 13.74
2025/1/15 12:43:48 13.88
2025/1/15 12:43:48 13.52
2025/1/15 12:43:48 13.68
2025/1/15 12:43:48 14.00
2025/1/15 12:43:48 13.59
2025/1/15 12:43:48 13.65
2025/1/15 12:43:48 14.03
2025/1/15 12:43:48 13.69
2025/1/15 12:43:48 13.59
2025/1/15 12:43:48 14.04
2025/1/15 12:43:48 13.78
2025/1/15 12:43:49 13.63
2025/1/15 12:43:49 13.80
2025/1/15 12:43:49 14.06
2025/1/15 12:43:49 13.69
2025/1/15 12:43:49 13.63
2025/1/15 12:43:49 14.06
2025/1/15 12:43:49 13.90
2025/1/15 12:43:49 13.65
2025/1/15 12:43:49 14.00
2025/1/15 12:43:49 14.01
2025/1/15 12:43:49 13.68
2025/1/15 12:43:49 13.93
2025/1/15 12:43:49 14.15
2025/1/15 12:43:50 13.74
2025/1/15 12:43:50 13.84
2025/1/15 12:43:50 14.20
2025/1/15 12:43:50 13.82
2025/1/15 12:43:50 13.79
2025/1/15 12:43:50 14.23
2025/1/15 12:43:50 13.90
2025/1/15 12:43:50 13.77
2025/1/15 12:43:50 14.01
2025/1/15 12:43:50 14.21
2025/1/15 12:43:50 13.84
2025/1/15 12:43:50 13.92
2025/1/15 12:43:50 14.32
2025/1/15 12:43:51 13.91
2025/1/15 12:43:51 13.87
2025/1/15 12:43:51 14.29
2025/1/15 12:43:51 14.01
2025/1/15 12:43:51 13.83
2025/1/15 12:43:51 14.26
