Fecha Tiempo Temperatura Distancia Paso_Madera
2025/1/15 12:59:8 20.05 331.00 0
2025/1/15 12:59:8 20.07 331.00 0
2025/1/15 12:59:8 20.07 331.00 0
2025/1/15 12:59:8 20.09 332.00 0
2025/1/15 12:59:8 20.03 332.00 0
2025/1/15 12:59:9 19.99 332.00 0
2025/1/15 12:59:9 20.01 332.00 0
2025/1/15 12:59:9 20.01 332.00 0
2025/1/15 12:59:9 19.97 332.00 0
2025/1/15 12:59:9 20.09 332.00 0
2025/1/15 12:59:10 20.01 332.00 0
2025/1/15 12:59:10 20.01 332.00 0
2025/1/15 12:59:10 19.97 333.00 0
2025/1/15 12:59:10 20.01 333.00 0
2025/1/15 12:59:11 20.09 333.00 0
2025/1/15 12:59:11 19.93 333.00 0
2025/1/15 12:59:11 19.97 332.00 0
2025/1/15 12:59:11 20.03 332.00 0
2025/1/15 12:59:12 19.91 332.00 0
2025/1/15 12:59:12 19.95 332.00 0
2025/1/15 12:59:12 19.93 332.00 0
2025/1/15 12:59:12 19.95 333.00 0
2025/1/15 12:59:13 20.03 332.00 0
2025/1/15 12:59:13 20.03 332.00 0
2025/1/15 12:59:13 20.03 332.00 0
2025/1/15 12:59:13 19.97 332.00 0
2025/1/15 12:59:13 19.97 332.00 0
2025/1/15 12:59:14 20.01 332.00 0
2025/1/15 12:59:14 19.97 332.00 0
2025/1/15 12:59:14 19.99 333.00 0
2025/1/15 12:59:14 20.07 332.00 0
2025/1/15 12:59:15 20.15 332.00 0
2025/1/15 12:59:15 20.09 332.00 0
2025/1/15 12:59:15 20.05 332.00 0
2025/1/15 12:59:15 19.99 332.00 0
2025/1/15 12:59:16 19.97 332.00 0
2025/1/15 12:59:16 19.99 332.00 0
2025/1/15 12:59:16 20.01 333.00 0
2025/1/15 12:59:16 20.11 333.00 0
2025/1/15 12:59:17 19.91 332.00 0
2025/1/15 12:59:17 19.95 332.00 0
2025/1/15 12:59:17 19.99 332.00 0
2025/1/15 12:59:17 20.07 332.00 0
2025/1/15 12:59:17 20.01 332.00 0
2025/1/15 12:59:18 20.05 332.00 0
2025/1/15 12:59:18 19.95 332.00 0
2025/1/15 12:59:18 20.07 332.00 0
2025/1/15 12:59:19 20.09 332.00 0
2025/1/15 12:59:19 20.05 332.00 0
2025/1/15 12:59:19 19.99 332.00 0
2025/1/15 12:59:19 20.07 332.00 0
2025/1/15 12:59:20 20.07 332.00 0
2025/1/15 12:59:20 20.01 332.00 0
2025/1/15 12:59:20 20.03 332.00 0
2025/1/15 12:59:20 20.05 333.00 0
2025/1/15 12:59:21 19.95 333.00 0
2025/1/15 12:59:21 20.03 333.00 0
2025/1/15 12:59:21 19.99 333.00 0
2025/1/15 12:59:21 20.09 333.00 0
2025/1/15 12:59:21 19.97 332.00 0
2025/1/15 12:59:22 20.01 332.00 0
2025/1/15 12:59:22 19.95 332.00 0
2025/1/15 12:59:22 19.95 332.00 0
2025/1/15 12:59:22 20.09 332.00 0
2025/1/15 12:59:23 19.95 332.00 0
2025/1/15 12:59:23 20.03 332.00 0
2025/1/15 12:59:23 19.99 332.00 0
2025/1/15 12:59:23 19.93 332.00 0
2025/1/15 12:59:24 19.97 332.00 0
2025/1/15 12:59:24 20.07 332.00 0
2025/1/15 12:59:24 19.93 332.00 0
2025/1/15 12:59:24 19.95 332.00 0
2025/1/15 12:59:25 19.91 332.00 0
2025/1/15 12:59:25 20.03 332.00 0
2025/1/15 12:59:25 20.03 332.00 0
2025/1/15 12:59:25 19.93 332.00 0
2025/1/15 12:59:25 20.03 333.00 0
2025/1/15 12:59:26 19.99 332.00 0
2025/1/15 12:59:26 19.99 332.00 0
2025/1/15 12:59:26 20.05 332.00 0
2025/1/15 12:59:26 19.95 332.00 0
2025/1/15 12:59:27 19.91 332.00 0
2025/1/15 12:59:27 19.97 331.00 0
2025/1/15 12:59:27 19.89 332.00 0
