Date Hora Corriente
2025/1/15 12:43:42 1.32
2025/1/15 12:43:42 0.12
2025/1/15 12:43:42 0.11
2025/1/15 12:43:42 0.11
2025/1/15 12:43:42 0.12
2025/1/15 12:43:42 0.11
2025/1/15 12:43:42 0.11
2025/1/15 12:43:42 0.11
2025/1/15 12:43:42 0.13
2025/1/15 12:43:42 0.10
2025/1/15 12:43:42 0.11
2025/1/15 12:43:42 0.10
2025/1/15 12:43:43 0.11
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.12
2025/1/15 12:43:43 0.09
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.09
2025/1/15 12:43:43 0.09
2025/1/15 12:43:43 0.10
2025/1/15 12:43:43 0.11
2025/1/15 12:43:43 0.08
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.10
2025/1/15 12:43:44 0.11
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.10
2025/1/15 12:43:44 0.10
2025/1/15 12:43:44 0.08
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.11
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.09
2025/1/15 12:43:44 0.09
2025/1/15 12:43:45 0.10
2025/1/15 12:43:45 0.09
2025/1/15 12:43:45 0.11
2025/1/15 12:43:45 0.12
2025/1/15 12:43:45 0.10
2025/1/15 12:43:45 0.08
2025/1/15 12:43:45 0.10
2025/1/15 12:43:45 0.11
2025/1/15 12:43:45 0.10
2025/1/15 12:43:45 0.09
2025/1/15 12:43:45 0.10
2025/1/15 12:43:45 0.11
2025/1/15 12:43:45 0.09
2025/1/15 12:43:45 0.08
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.11
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.08
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.11
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.09
2025/1/15 12:43:46 0.10
2025/1/15 12:43:46 0.11
2025/1/15 12:43:47 0.10
2025/1/15 12:43:47 0.09
2025/1/15 12:43:47 0.10
2025/1/15 12:43:47 0.12
2025/1/15 12:43:47 0.10
2025/1/15 12:43:47 0.09
2025/1/15 12:43:47 0.10
2025/1/15 12:43:47 0.11
2025/1/15 12:43:47 0.10
2025/1/15 12:43:47 0.09
2025/1/15 12:43:47 0.10
2025/1/15 12:43:47 0.11
2025/1/15 12:43:47 0.09
2025/1/15 12:43:47 0.09
2025/1/15 12:43:48 0.10
2025/1/15 12:43:48 0.11
2025/1/15 12:43:48 0.09
2025/1/15 12:43:48 0.09
2025/1/15 12:43:48 0.12
2025/1/15 12:43:48 0.11
2025/1/15 12:43:48 0.10
2025/1/15 12:43:48 0.10
2025/1/15 12:43:48 0.10
2025/1/15 12:43:48 0.13
2025/1/15 12:43:48 0.10
2025/1/15 12:43:48 0.09
2025/1/15 12:43:48 0.11
2025/1/15 12:43:48 0.11
2025/1/15 12:43:49 0.10
2025/1/15 12:43:49 0.11
2025/1/15 12:43:49 0.10
2025/1/15 12:43:49 0.13
2025/1/15 12:43:49 0.10
2025/1/15 12:43:49 0.09
2025/1/15 12:43:49 0.10
2025/1/15 12:43:49 0.11
2025/1/15 12:43:49 0.09
2025/1/15 12:43:49 0.09
2025/1/15 12:43:49 0.10
2025/1/15 12:43:49 0.10
2025/1/15 12:43:49 0.11
2025/1/15 12:43:49 0.08
2025/1/15 12:43:50 0.09
2025/1/15 12:43:50 0.11
2025/1/15 12:43:50 0.09
2025/1/15 12:43:50 0.10
2025/1/15 12:43:50 0.10
2025/1/15 12:43:50 0.11
2025/1/15 12:43:50 0.09
2025/1/15 12:43:50 0.08
2025/1/15 12:43:50 0.09
2025/1/15 12:43:50 0.10
2025/1/15 12:43:50 0.10
2025/1/15 12:43:50 0.09
2025/1/15 12:43:50 0.09
2025/1/15 12:43:50 0.11
2025/1/15 12:43:51 0.10
2025/1/15 12:43:51 0.09
2025/1/15 12:43:51 0.10
2025/1/15 12:43:51 0.11
2025/1/15 12:43:51 0.10
2025/1/15 12:43:51 0.08
2025/1/15 12:43:51 0.10
2025/1/15 12:43:51 0.12
2025/1/15 12:43:51 0.12
2025/1/15 12:43:51 0.09
2025/1/15 12:43:51 0.11
2025/1/15 12:43:51 0.12
2025/1/15 12:43:51 0.10
2025/1/15 12:43:51 0.11
2025/1/15 12:43:52 0.12
2025/1/15 12:43:52 0.11
2025/1/15 12:43:52 0.09
2025/1/15 12:43:52 0.08
2025/1/15 12:43:52 0.12
2025/1/15 12:43:52 0.11
2025/1/15 12:43:52 0.09
2025/1/15 12:43:52 0.09
2025/1/15 12:43:52 0.09
2025/1/15 12:43:52 0.11
2025/1/15 12:43:52 0.10
2025/1/15 12:43:52 0.09
2025/1/15 12:43:52 0.10
2025/1/15 12:43:52 0.13
2025/1/15 12:43:53 0.09
2025/1/15 12:43:53 0.09
2025/1/15 12:43:53 0.10
2025/1/15 12:43:53 0.11
2025/1/15 12:43:53 0.10
2025/1/15 12:43:53 0.08
2025/1/15 12:43:53 0.09
2025/1/15 12:43:53 0.11
2025/1/15 12:43:53 0.10
2025/1/15 12:43:53 0.08
2025/1/15 12:43:53 0.10
2025/1/15 12:43:53 0.11
2025/1/15 12:43:53 0.10
2025/1/15 12:43:53 0.09
2025/1/15 12:43:54 0.09
2025/1/15 12:43:54 0.10
2025/1/15 12:43:54 0.09
2025/1/15 12:43:54 0.08
2025/1/15 12:43:54 0.09
2025/1/15 12:43:54 0.10
