Fecha Hora Temperatura(ºC) Distancia(mm) Madera

2025/1/15 15:24:31 15.03 301.00 0
2025/1/15 15:24:31 15.03 301.00 0
2025/1/15 15:24:31 15.13 302.00 0
2025/1/15 15:24:31 15.13 302.00 0
2025/1/15 15:24:32 15.07 304.00 0
2025/1/15 15:24:32 15.07 304.00 0
2025/1/15 15:24:32 15.03 306.00 0
2025/1/15 15:24:32 15.03 306.00 0
2025/1/15 15:24:32 15.09 301.00 0
2025/1/15 15:24:32 15.09 301.00 0
2025/1/15 15:24:32 15.05 301.00 0
2025/1/15 15:24:32 15.05 301.00 0
2025/1/15 15:24:33 15.05 305.00 0
2025/1/15 15:24:33 15.05 305.00 0
2025/1/15 15:24:33 15.03 304.00 0
2025/1/15 15:24:33 15.03 304.00 0
2025/1/15 15:24:33 15.13 303.00 0
2025/1/15 15:24:33 15.09 303.00 0
2025/1/15 15:24:33 15.05 303.00 0
2025/1/15 15:24:34 15.05 303.00 0
2025/1/15 15:24:34 15.13 303.00 0
2025/1/15 15:24:34 15.05 303.00 0
2025/1/15 15:24:34 14.99 303.00 0
2025/1/15 15:24:35 15.01 304.00 0
2025/1/15 15:24:35 15.01 304.00 0
2025/1/15 15:24:35 15.11 304.00 0
2025/1/15 15:24:35 15.09 305.00 0
2025/1/15 15:24:36 14.99 305.00 0
2025/1/15 15:24:36 14.99 305.00 0
2025/1/15 15:24:36 15.05 300.00 0
2025/1/15 15:24:36 15.05 305.00 0
2025/1/15 15:24:37 15.01 300.00 0
2025/1/15 15:24:37 15.07 300.00 0
2025/1/15 15:24:37 15.01 302.00 0
2025/1/15 15:24:37 15.03 302.00 0
2025/1/15 15:24:37 15.05 301.00 0
2025/1/15 15:24:38 14.95 301.00 0
2025/1/15 15:24:38 14.87 300.00 0
2025/1/15 15:24:38 14.93 301.00 0
2025/1/15 15:24:38 14.99 300.00 0
2025/1/15 15:24:39 15.03 299.00 0
2025/1/15 15:24:39 14.91 299.00 0
2025/1/15 15:24:39 14.97 299.00 0
2025/1/15 15:24:39 14.93 299.00 0
2025/1/15 15:24:40 14.89 298.00 0
2025/1/15 15:24:40 14.91 298.00 0
2025/1/15 15:24:40 14.87 298.00 0
2025/1/15 15:24:40 14.87 298.00 0
2025/1/15 15:24:41 14.99 298.00 0
2025/1/15 15:24:41 14.87 298.00 0
2025/1/15 15:24:41 14.87 298.00 0
2025/1/15 15:24:41 14.97 298.00 0
2025/1/15 15:24:41 14.91 298.00 0
2025/1/15 15:24:42 14.93 299.00 0
2025/1/15 15:24:42 15.03 299.00 0
2025/1/15 15:24:42 14.91 298.00 0
2025/1/15 15:24:42 14.87 299.00 0
2025/1/15 15:24:43 14.97 300.00 0
2025/1/15 15:24:43 14.89 299.00 0
2025/1/15 15:24:43 14.89 298.00 0
2025/1/15 15:24:43 14.93 297.00 0
2025/1/15 15:24:44 14.95 300.00 0
2025/1/15 15:24:44 14.91 299.00 0
2025/1/15 15:24:44 14.93 299.00 0
2025/1/15 15:24:44 15.03 299.00 0
2025/1/15 15:24:45 14.95 299.00 0
2025/1/15 15:24:45 15.01 299.00 0
2025/1/15 15:24:45 14.93 299.00 0
2025/1/15 15:24:45 14.97 299.00 0
2025/1/15 15:24:45 15.03 298.00 0
2025/1/15 15:24:46 15.07 298.00 0
2025/1/15 15:24:46 14.89 297.00 0
2025/1/15 15:24:46 14.95 299.00 0
2025/1/15 15:24:46 14.89 298.00 0
2025/1/15 15:24:47 14.95 300.00 0
2025/1/15 15:24:47 15.03 298.00 0
2025/1/15 15:24:47 14.93 301.00 0
2025/1/15 15:24:47 14.97 297.00 0
2025/1/15 15:24:48 14.85 300.00 0
2025/1/15 15:24:48 15.05 297.00 0
2025/1/15 15:24:48 14.97 297.00 0
2025/1/15 15:24:48 15.01 300.00 0
2025/1/15 15:24:49 14.99 298.00 0
2025/1/15 15:24:49 14.93 300.00 0
2025/1/15 15:24:49 15.01 300.00 0
2025/1/15 15:24:49 15.01 299.00 0
2025/1/15 15:24:49 14.85 299.00 0
2025/1/15 15:24:50 14.97 297.00 0
2025/1/15 15:24:50 14.95 300.00 0
2025/1/15 15:24:50 14.87 297.00 0
2025/1/15 15:24:50 14.99 297.00 0
2025/1/15 15:24:51 14.95 297.00 0
2025/1/15 15:24:51 14.99 296.00 0
2025/1/15 15:24:51 14.95 298.00 0
2025/1/15 15:24:51 14.97 298.00 0
2025/1/15 15:24:52 15.01 297.00 0
2025/1/15 15:24:52 14.97 300.00 0
2025/1/15 15:24:52 14.97 299.00 0
2025/1/15 15:24:52 14.99 299.00 0
2025/1/15 15:24:53 15.01 299.00 0
2025/1/15 15:24:53 15.03 299.00 0
2025/1/15 15:24:53 14.87 299.00 0
2025/1/15 15:24:53 14.93 299.00 0
2025/1/15 15:24:54 14.95 299.00 0
2025/1/15 15:24:54 14.99 296.00 0
2025/1/15 15:24:54 14.97 299.00 0
