Fecha Pulso
2024/12/16 16:32:35 2
2024/12/16 16:32:37 3
2024/12/16 16:32:38 4
2024/12/16 16:32:38 5
2024/12/16 16:32:39 6
2024/12/16 16:32:40 7
2024/12/16 16:32:40 8
2024/12/16 16:32:43 9
2024/12/16 16:32:43 10
2024/12/16 16:32:44 11
2024/12/16 16:32:45 12
2024/12/16 16:32:45 13
2024/12/16 16:32:46 14
2024/12/16 16:32:47 15
2024/12/16 16:32:48 16
2024/12/16 16:32:49 17
2024/12/16 16:32:50 18
2024/12/16 16:32:57 19
2024/12/16 16:32:58 20
2024/12/16 16:32:58 21
2024/12/16 16:32:59 22
2024/12/16 16:33:0 23
2024/12/16 16:33:1 24
2024/12/16 16:33:1 25
2024/12/16 16:33:1 26
2024/12/16 16:33:2 27
2024/12/16 16:33:3 28
2024/12/16 16:33:7 29
2024/12/16 16:33:26 30
2024/12/16 16:34:32 2
2024/12/16 16:34:33 3
2024/12/16 16:34:39 4
2024/12/16 16:34:41 5
2024/12/16 16:34:41 6
2024/12/16 16:34:41 7
2024/12/16 16:34:43 8
2024/12/16 16:34:43 9
2024/12/16 16:34:46 10
2024/12/16 16:34:46 11
2024/12/16 16:34:49 12
2024/12/16 16:34:50 13
2024/12/16 16:34:50 14
2024/12/16 16:34:53 15
2024/12/16 16:34:55 16
2024/12/16 16:34:59 17
2024/12/16 16:35:1 18
2024/12/16 16:35:2 19
2024/12/16 16:35:4 20
2024/12/16 16:35:5 21
2024/12/16 16:35:6 22
2024/12/16 16:35:7 23
