Fecha Hora Temperatura(ºC) Distancia(mm) Madera

2025-01-08 15:31:01 28.71 263.00 0
2025-01-08 15:31:01 28.79 264.00 0
2025-01-08 15:31:01 28.73 264.00 0
2025-01-08 15:31:02 28.75 264.00 0
2025-01-08 15:31:02 28.81 264.00 0
2025-01-08 15:31:02 28.69 264.00 0
2025-01-08 15:31:02 28.63 264.00 0
2025-01-08 15:31:03 28.75 264.00 0
2025-01-08 15:31:03 28.61 264.00 0
2025-01-08 15:31:03 28.69 263.00 0
2025-01-08 15:31:03 28.77 263.00 0
2025-01-08 15:31:04 28.69 263.00 0
2025-01-08 15:31:04 28.67 263.00 0
2025-01-08 15:31:04 28.75 263.00 0
2025-01-08 15:31:04 28.67 263.00 0
2025-01-08 15:31:04 28.61 263.00 0
2025-01-08 15:31:05 28.75 264.00 0
2025-01-08 15:31:05 28.79 263.00 0
2025-01-08 15:31:05 28.81 263.00 0
2025-01-08 15:31:05 28.73 263.00 0
2025-01-08 15:31:06 28.75 263.00 0
2025-01-08 15:31:06 28.65 263.00 0
2025-01-08 15:31:06 28.75 263.00 0
2025-01-08 15:31:06 28.77 263.00 0
2025-01-08 15:31:07 28.73 264.00 0
2025-01-08 15:31:07 28.75 264.00 0
2025-01-08 15:31:07 28.77 264.00 0
2025-01-08 15:31:07 28.57 264.00 0
2025-01-08 15:31:08 28.73 264.00 0
2025-01-08 15:31:08 28.73 263.00 0
2025-01-08 15:31:08 28.83 263.00 0
2025-01-08 15:31:08 28.77 263.00 0
2025-01-08 15:31:08 28.79 263.00 0
2025-01-08 15:31:09 28.79 264.00 0
2025-01-08 15:31:10 28.77 264.00 0
2025-01-08 15:31:10 28.79 264.00 0
2025-01-08 15:31:10 28.73 264.00 0
2025-01-08 15:31:10 28.73 264.00 0
2025-01-08 15:31:11 28.77 264.00 0
2025-01-08 15:31:11 28.77 263.00 0
2025-01-08 15:31:11 28.75 264.00 0
2025-01-08 15:31:11 28.81 263.00 0
2025-01-08 15:31:12 28.75 263.00 0
2025-01-08 15:31:12 28.73 263.00 0
2025-01-08 15:31:12 28.87 264.00 0
2025-01-08 15:31:12 28.81 263.00 0
2025-01-08 15:31:12 28.81 264.00 0
2025-01-08 15:31:13 28.77 264.00 0
2025-01-08 15:31:13 28.75 264.00 0
2025-01-08 15:31:13 28.73 263.00 0
2025-01-08 15:31:13 28.79 263.00 0
2025-01-08 15:31:14 28.79 263.00 0
2025-01-08 15:31:14 28.83 263.00 0
2025-01-08 15:31:14 28.73 263.00 0
2025-01-08 15:31:14 28.83 263.00 0
2025-01-08 15:31:15 28.89 264.00 0
2025-01-08 15:31:15 28.77 264.00 0
2025-01-08 15:31:15 28.77 264.00 0
2025-01-08 15:31:15 28.69 264.00 0
2025-01-08 15:31:16 28.79 264.00 0
2025-01-08 15:31:16 28.85 264.00 0
2025-01-08 15:31:16 28.85 263.00 0
2025-01-08 15:31:16 28.77 263.00 0
2025-01-08 15:31:16 28.79 264.00 0
2025-01-08 15:31:17 28.83 264.00 0
2025-01-08 15:31:17 28.79 263.00 0
2025-01-08 15:31:17 28.81 264.00 0
2025-01-08 15:31:17 28.89 264.00 0
2025-01-08 15:31:18 28.81 264.00 0
2025-01-08 15:31:18 28.73 264.00 0
2025-01-08 15:31:18 28.79 264.00 0
2025-01-08 15:31:18 28.73 264.00 0
2025-01-08 15:31:19 28.79 264.00 0
2025-01-08 15:31:19 28.81 263.00 0
2025-01-08 15:31:19 28.79 263.00 0
2025-01-08 15:31:19 28.79 263.00 0
2025-01-08 15:31:20 28.75 263.00 0
2025-01-08 15:31:20 28.69 263.00 0
2025-01-08 15:31:20 28.87 263.00 0
2025-01-08 15:31:20 28.87 264.00 0
2025-01-08 15:31:20 28.83 264.00 0
2025-01-08 15:31:21 28.89 264.00 0
2025-01-08 15:31:21 28.85 264.00 0
2025-01-08 15:31:21 28.79 263.00 0
2025-01-08 15:31:21 28.75 263.00 0
2025-01-08 15:31:22 28.69 263.00 0
2025-01-08 15:31:22 28.77 263.00 0
2025-01-08 15:31:22 28.85 263.00 0
2025-01-08 15:31:22 28.85 264.00 0
2025-01-08 15:31:23 28.75 264.00 0
2025-01-08 15:31:23 28.85 264.00 0
2025-01-08 15:31:23 28.85 263.00 0
2025-01-08 15:31:23 28.85 263.00 0
2025-01-08 15:31:24 28.81 263.00 0
2025-01-08 15:31:24 28.73 263.00 0
2025-01-08 15:31:24 28.75 263.00 0
2025-01-08 15:31:24 28.87 263.00 0
2025-01-08 15:31:24 28.79 263.00 0
2025-01-08 15:31:25 28.73 263.00 0
2025-01-08 15:31:25 28.77 263.00 0
2025-01-08 15:31:25 28.77 264.00 0
2025-01-08 15:31:25 28.83 264.00 0
2025-01-08 15:31:26 28.73 264.00 0
2025-01-08 15:31:26 28.75 264.00 0
2025-01-08 15:31:26 28.83 264.00 0
2025-01-08 15:31:26 28.77 263.00 0
2025-01-08 15:31:27 28.83 263.00 0
2025-01-08 15:31:27 28.81 263.00 0
2025-01-08 15:31:27 28.83 263.00 0
2025-01-08 15:31:27 28.77 263.00 0
2025-01-08 15:31:28 28.75 263.00 0
2025-01-08 15:31:28 28.79 263.00 0
2025-01-08 15:31:28 28.79 263.00 0
2025-01-08 15:31:28 28.73 263.00 0
2025-01-08 15:31:28 28.77 263.00 0
2025-01-08 15:31:29 28.79 263.00 0
2025-01-08 15:31:29 28.75 263.00 0
2025-01-08 15:31:29 28.77 263.00 0
2025-01-08 15:31:29 28.75 263.00 0
2025-01-08 15:31:30 28.81 263.00 0
2025-01-08 15:31:30 28.77 263.00 0
2025-01-08 15:31:30 28.75 263.00 0
2025-01-08 15:31:30 28.75 263.00 0
2025-01-08 15:31:31 28.73 263.00 0
2025-01-08 15:31:31 28.81 263.00 0
2025-01-08 15:31:31 28.77 263.00 0
2025-01-08 15:31:31 28.77 263.00 0
2025-01-08 15:31:32 28.79 263.00 0
2025-01-08 15:31:32 28.85 263.00 0
2025-01-08 15:31:32 28.85 263.00 0
2025-01-08 15:31:32 28.87 263.00 0
2025-01-08 15:31:33 28.81 263.00 0
2025-01-08 15:31:33 28.73 263.00 0
2025-01-08 15:31:33 28.75 263.00 0
2025-01-08 15:31:33 28.79 263.00 0
2025-01-08 15:31:33 28.75 263.00 0
2025-01-08 15:31:34 28.81 263.00 0
2025-01-08 15:31:34 28.77 263.00 0
2025-01-08 15:31:34 28.77 263.00 0
2025-01-08 15:31:34 28.81 263.00 0
2025-01-08 15:31:35 28.85 263.00 0
2025-01-08 15:31:35 28.79 263.00 0
2025-01-08 15:31:35 28.77 263.00 0
2025-01-08 15:31:35 28.81 263.00 0
2025-01-08 15:31:36 28.87 263.00 0
2025-01-08 15:31:36 28.81 263.00 0
2025-01-08 15:31:36 28.79 264.00 0
2025-01-08 15:31:36 28.81 263.00 0
2025-01-08 15:31:37 28.73 263.00 0
2025-01-08 15:31:37 28.77 264.00 0
2025-01-08 15:31:37 28.83 264.00 0
2025-01-08 15:31:37 28.91 265.00 0
2025-01-08 15:31:37 28.79 264.00 0
2025-01-08 15:31:38 28.79 263.00 0
2025-01-08 15:31:38 28.79 263.00 0
2025-01-08 15:31:38 28.81 263.00 0
2025-01-08 15:31:38 28.81 263.00 0
2025-01-08 15:31:39 28.75 263.00 0
2025-01-08 15:31:39 28.83 262.00 0
2025-01-08 15:31:39 28.83 262.00 0
2025-01-08 15:31:39 28.79 263.00 0
2025-01-08 15:31:40 28.81 265.00 0
2025-01-08 15:31:40 28.81 261.00 0
2025-01-08 15:31:40 28.79 265.00 0
