Fecha Hora Temperatura(ºC) Distancia(mm) Madera

2025-01-09 11:35:28 24.05 297.00 0
2025-01-09 11:35:28 24.05 297.00 0
2025-01-09 11:35:28 24.05 297.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:29 24.13 298.00 0
2025-01-09 11:35:29 24.13 298.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:29 24.07 298.00 0
2025-01-09 11:35:30 24.03 298.00 0
2025-01-09 11:35:30 24.03 298.00 0
2025-01-09 11:35:30 24.13 298.00 0
2025-01-09 11:35:30 24.13 298.00 0
2025-01-09 11:35:30 24.11 298.00 0
2025-01-09 11:35:30 24.11 298.00 0
2025-01-09 11:35:30 24.11 297.00 0
2025-01-09 11:35:30 24.01 297.00 0
2025-01-09 11:35:31 24.17 297.00 0
2025-01-09 11:35:31 24.17 297.00 0
2025-01-09 11:35:31 24.15 297.00 0
2025-01-09 11:35:31 24.15 297.00 0
2025-01-09 11:35:31 24.15 297.00 0
2025-01-09 11:35:31 24.15 297.00 0
2025-01-09 11:35:31 24.17 297.00 0
2025-01-09 11:35:31 24.17 297.00 0
2025-01-09 11:35:32 24.07 297.00 0
2025-01-09 11:35:32 24.07 297.00 0
2025-01-09 11:35:32 24.05 297.00 0
2025-01-09 11:35:32 24.05 297.00 0
2025-01-09 11:35:32 24.09 297.00 0
2025-01-09 11:35:32 24.09 297.00 0
2025-01-09 11:35:32 24.07 297.00 0
2025-01-09 11:35:32 24.05 297.00 0
2025-01-09 11:35:32 23.99 298.00 0
2025-01-09 11:35:32 23.99 298.00 0
2025-01-09 11:35:33 24.11 298.00 0
2025-01-09 11:35:33 24.11 298.00 0
2025-01-09 11:35:33 24.07 298.00 0
2025-01-09 11:35:33 24.07 298.00 0
2025-01-09 11:35:33 24.09 297.00 0
2025-01-09 11:35:33 24.09 297.00 0
2025-01-09 11:35:33 23.95 298.00 0
2025-01-09 11:35:33 23.95 298.00 0
2025-01-09 11:35:34 24.05 298.00 0
2025-01-09 11:35:34 24.05 298.00 0
2025-01-09 11:35:34 24.05 298.00 0
2025-01-09 11:35:34 24.15 298.00 0
2025-01-09 11:35:34 24.15 298.00 0
2025-01-09 11:35:34 24.15 298.00 0
2025-01-09 11:35:34 24.07 297.00 0
2025-01-09 11:35:34 24.07 297.00 0
2025-01-09 11:35:34 24.13 297.00 0
2025-01-09 11:35:34 24.13 297.00 0
2025-01-09 11:35:35 24.21 298.00 0
2025-01-09 11:35:35 24.21 298.00 0
2025-01-09 11:35:35 24.11 297.00 0
2025-01-09 11:35:35 24.11 297.00 0
2025-01-09 11:35:35 24.13 297.00 0
2025-01-09 11:35:35 24.13 297.00 0
2025-01-09 11:35:35 24.15 297.00 0
2025-01-09 11:35:35 24.15 297.00 0
2025-01-09 11:35:36 24.15 297.00 0
2025-01-09 11:35:36 24.15 297.00 0
2025-01-09 11:35:36 24.15 297.00 0
2025-01-09 11:35:36 24.15 297.00 0
2025-01-09 11:35:36 24.15 297.00 0
2025-01-09 11:35:36 24.17 297.00 0
2025-01-09 11:35:36 24.17 297.00 0
2025-01-09 11:35:36 24.17 297.00 0
2025-01-09 11:35:36 24.09 297.00 0
2025-01-09 11:35:36 24.09 297.00 0
2025-01-09 11:35:36 24.17 297.00 0
