Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025/01/10 15:21:58 29.65 304 8190 0
2025/01/10 15:21:59 29.51 304 8190 0
2025/01/10 15:22:00 29.51 304 8191 0
2025/01/10 15:22:01 29.65 304 8191 0
2025/01/10 15:22:02 29.71 305 8191 0
2025/01/10 15:22:03 29.69 305 520 0
2025/01/10 15:22:04 29.55 305 8190 0
2025/01/10 15:22:05 29.83 305 8190 0
2025/01/10 15:22:06 29.75 306 8191 0
2025/01/10 15:22:07 29.75 306 8190 0
2025/01/10 15:22:08 29.75 306 8191 0
2025/01/10 15:22:09 29.57 306 8191 0
2025/01/10 15:22:10 29.75 306 8191 0
2025/01/10 15:22:11 29.57 306 8190 0
2025/01/10 15:22:12 29.65 306 8191 0
2025/01/10 15:22:13 29.65 306 8190 0
2025/01/10 15:22:14 29.79 306 8191 0
2025/01/10 15:22:15 29.69 306 8191 0
2025/01/10 15:22:16 29.65 306 8190 0
2025/01/10 15:22:17 29.75 306 8191 0
2025/01/10 15:22:18 29.77 306 8191 0
2025/01/10 15:22:20 29.75 306 8191 0
2025/01/10 15:22:21 29.85 306 8190 0
2025/01/10 15:22:22 29.71 306 8190 0
2025/01/10 15:22:23 29.79 306 8191 0
2025/01/10 15:22:24 29.71 306 362 0
2025/01/10 15:22:25 29.69 306 8191 0
2025/01/10 15:22:26 29.69 306 8191 0
2025/01/10 15:22:29 29.65 497 8191 0
2025/01/10 15:22:30 29.69 306 8191 0
2025/01/10 15:22:31 29.63 306 201 1
2025/01/10 15:22:32 29.59 306 390 0
2025/01/10 15:22:33 29.69 306 8190 0
2025/01/10 15:22:34 29.77 306 8190 0
2025/01/10 15:22:35 29.69 306 8190 0
2025/01/10 15:22:36 29.63 306 8191 0
2025/01/10 15:22:37 29.55 306 8191 0
2025/01/10 15:22:38 29.45 306 8191 0
2025/01/10 15:22:39 29.79 306 8191 0
2025/01/10 15:22:40 29.57 306 8191 0
2025/01/10 15:22:41 29.77 306 8191 0
2025/01/10 15:22:42 29.31 306 8190 0
