Fecha Hora Temperatura Distancia Laser_pequeño
2025/5/9 12:53:3 17.51 310 235
2025/5/9 12:53:4 17.51 310 216
2025/5/9 12:53:5 17.51 310 227
2025/5/9 12:53:6 17.75 310 225
2025/5/9 12:53:7 17.51 310 211
2025/5/9 12:53:8 17.51 310 226
2025/5/9 12:53:9 17.43 310 219
2025/5/9 12:53:10 17.69 310 201
2025/5/9 12:53:11 17.67 310 239
2025/5/9 12:53:12 17.75 310 229
2025/5/9 12:53:13 17.41 310 204
2025/5/9 12:53:14 17.63 310 204
2025/5/9 12:53:15 17.57 310 214
2025/5/9 12:53:16 17.59 310 231
2025/5/9 12:53:18 17.51 310 220
2025/5/9 12:53:19 17.67 310 231
2025/5/9 12:53:20 17.73 310 215
2025/5/9 12:53:21 17.67 310 209
2025/5/9 12:53:22 17.59 310 213
2025/5/9 12:53:23 17.75 310 208
2025/5/9 12:53:24 17.67 310 213
2025/5/9 12:53:25 17.59 310 223
2025/5/9 12:53:26 17.85 310 222
2025/5/9 12:53:27 17.67 310 212
2025/5/9 12:53:28 17.73 310 215
2025/5/9 12:53:29 17.63 310 214
2025/5/9 12:53:30 17.53 310 222
2025/5/9 12:53:31 17.63 310 221
2025/5/9 12:53:32 17.59 310 209
2025/5/9 12:53:33 17.75 310 216
2025/5/9 12:53:34 17.67 310 218
2025/5/9 12:53:35 17.67 310 208
2025/5/9 12:53:36 17.59 310 212
2025/5/9 12:53:38 17.73 310 228
2025/5/9 12:53:39 17.67 310 214
2025/5/9 12:53:40 17.57 310 214
2025/5/9 12:53:41 17.51 310 237
2025/5/9 12:53:42 17.63 310 206
2025/5/9 12:53:43 17.75 310 206
2025/5/9 12:53:44 17.75 310 220
2025/5/9 12:53:45 17.83 310 210
2025/5/9 12:53:46 17.43 310 206
2025/5/9 12:53:47 17.69 310 233
2025/5/9 12:53:48 17.69 310 191
2025/5/9 12:53:49 17.63 310 217
2025/5/9 12:53:50 17.57 310 222
2025/5/9 12:53:51 17.67 310 220
2025/5/9 12:53:52 17.73 310 208
2025/5/9 12:53:53 17.79 310 224
2025/5/9 12:53:54 17.51 310 210
2025/5/9 12:53:55 17.63 310 210
2025/5/9 12:53:56 17.57 310 229
2025/5/9 12:53:57 17.73 310 222
2025/5/9 12:53:59 17.57 310 215
2025/5/9 12:54:0 17.53 310 222
2025/5/9 12:54:1 17.57 310 230
2025/5/9 12:54:2 17.57 310 223
2025/5/9 12:54:3 17.63 310 216
2025/5/9 12:54:4 17.67 310 213
2025/5/9 12:54:5 17.63 310 208
2025/5/9 12:54:6 17.69 310 216
2025/5/9 12:54:7 17.63 311 223
2025/5/9 12:54:8 17.73 311 201
2025/5/9 12:54:43 17.83 497 214
2025/5/9 12:54:44 17.67 311 229
2025/5/9 12:54:45 17.53 311 230
2025/5/9 12:54:46 17.69 311 224
2025/5/9 12:54:47 17.63 311 202
2025/5/9 12:54:48 17.67 311 221
2025/5/9 12:54:49 17.69 311 204
2025/5/9 12:54:50 17.67 311 227
2025/5/9 12:54:51 17.63 311 218
2025/5/9 12:54:52 17.79 311 208
2025/5/9 12:54:53 17.59 311 221
2025/5/9 12:54:54 17.95 311 221
2025/5/9 12:54:55 17.73 311 223
2025/5/9 12:54:56 17.79 311 206
2025/5/9 12:54:57 17.73 311 217
2025/5/9 12:54:58 17.67 311 205
2025/5/9 12:54:59 17.63 311 217
2025/5/9 12:55:1 17.69 311 209
2025/5/9 12:55:2 17.79 311 233
2025/5/9 12:55:3 17.59 311 217
2025/5/9 12:55:4 17.69 311 212
2025/5/9 12:55:5 17.59 311 203
2025/5/9 12:55:6 17.43 311 224
2025/5/9 12:55:7 17.57 311 216
2025/5/9 12:55:8 17.69 311 212
2025/5/9 12:55:9 17.51 311 237
2025/5/9 12:55:10 17.63 311 201
2025/5/9 12:55:11 17.73 311 220
2025/5/9 12:55:12 17.47 311 217
2025/5/9 12:55:13 17.67 311 213
2025/5/9 12:55:14 17.73 311 215
2025/5/9 12:55:15 17.57 311 219
2025/5/9 12:55:16 17.57 311 221
2025/5/9 12:55:17 17.51 311 206
2025/5/9 12:55:18 17.53 311 212
2025/5/9 12:55:19 17.51 311 224
2025/5/9 12:55:21 17.57 311 214
2025/5/9 12:55:22 17.63 311 225
2025/5/9 12:55:23 17.51 311 209
2025/5/9 12:55:24 17.47 311 201
2025/5/9 12:55:25 17.57 311 208
2025/5/9 12:55:26 17.75 311 213
2025/5/9 12:55:27 17.73 311 222
2025/5/9 12:55:28 17.69 311 232
2025/5/9 12:55:29 17.73 311 218
2025/5/9 12:55:30 17.73 311 227
2025/5/9 12:55:31 17.57 311 219
2025/5/9 12:55:32 17.75 311 214
2025/5/9 12:55:33 17.67 311 222
2025/5/9 12:55:34 17.63 311 221
2025/5/9 12:55:35 17.59 311 239
2025/5/9 12:55:36 17.53 311 207
2025/5/9 12:55:37 17.63 311 217
2025/5/9 12:55:38 17.69 311 225
2025/5/9 12:55:39 17.57 311 217
2025/5/9 12:55:40 17.57 311 226
2025/5/9 12:55:42 17.85 311 223
2025/5/9 12:55:43 17.69 311 209
2025/5/9 12:55:44 17.51 311 220
2025/5/9 12:55:45 17.67 311 216
2025/5/9 12:55:46 17.57 311 225
2025/5/9 12:55:47 17.69 311 212
2025/5/9 12:55:48 17.47 311 219
2025/5/9 12:55:49 17.75 311 216
2025/5/9 12:55:50 17.85 311 215
2025/5/9 12:55:51 17.67 311 232
2025/5/9 12:55:52 17.63 311 218
2025/5/9 12:55:53 17.69 311 224
2025/5/9 12:55:54 17.75 311 224
2025/5/9 12:55:55 17.69 311 228
2025/5/9 12:55:56 17.51 311 237
2025/5/9 12:55:57 17.47 311 218
2025/5/9 12:55:58 17.75 311 211
2025/5/9 12:55:59 17.59 311 232
2025/5/9 12:56:0 17.67 311 206
2025/5/9 12:56:2 17.51 311 237
2025/5/9 12:56:3 17.51 311 210
2025/5/9 12:56:4 17.69 311 222
2025/5/9 12:56:5 17.59 311 210
2025/5/9 12:56:6 17.63 311 210
2025/5/9 12:56:7 17.67 311 223
2025/5/9 12:56:8 17.47 311 222
2025/5/9 12:56:9 17.47 311 207
2025/5/9 12:56:10 17.85 311 203
2025/5/9 12:56:11 17.67 311 228
2025/5/9 12:56:12 17.79 311 216
2025/5/9 12:56:13 17.57 311 216
2025/5/9 12:56:14 17.69 311 232
2025/5/9 12:56:15 17.63 311 205
2025/5/9 12:56:16 17.75 311 202
2025/5/9 12:56:17 17.67 311 219
2025/5/9 12:56:18 17.63 311 228
2025/5/9 12:56:19 17.79 311 218
2025/5/9 12:56:20 17.51 311 213
2025/5/9 12:56:21 17.67 311 231
2025/5/9 12:56:23 17.53 311 221
2025/5/9 12:56:24 17.53 311 213
2025/5/9 12:56:25 17.79 311 209
2025/5/9 12:56:26 17.67 311 223
2025/5/9 12:56:27 17.73 311 227
2025/5/9 12:56:28 17.67 311 212
2025/5/9 12:56:29 17.57 311 218
2025/5/9 12:56:30 17.57 311 190
2025/5/9 12:56:31 17.51 311 224
2025/5/9 12:56:32 17.47 311 214
2025/5/9 12:56:33 17.79 311 222
2025/5/9 12:56:34 17.59 311 220
2025/5/9 12:56:35 17.67 311 243
2025/5/9 12:56:36 17.69 311 225
2025/5/9 12:56:37 17.57 311 223
2025/5/9 12:56:38 17.83 311 214
2025/5/9 12:56:39 17.85 311 211
2025/5/9 12:56:40 17.73 311 206
2025/5/9 12:56:41 17.79 311 232
2025/5/9 12:56:42 17.73 311 217
2025/5/9 12:56:44 17.67 311 217
2025/5/9 12:56:45 17.57 311 201
2025/5/9 12:56:46 17.79 311 199
2025/5/9 12:56:47 17.67 311 228
2025/5/9 12:56:48 17.75 311 215
2025/5/9 12:56:49 17.79 311 208
2025/5/9 12:56:50 17.63 311 221
2025/5/9 12:56:51 17.83 311 221
2025/5/9 12:56:52 17.51 311 217
2025/5/9 12:56:53 17.51 311 225
2025/5/9 12:56:54 17.67 311 223
2025/5/9 12:56:55 17.53 311 207
2025/5/9 12:56:56 17.75 311 226
2025/5/9 12:56:57 17.53 311 211
2025/5/9 12:56:58 17.89 311 214
2025/5/9 12:56:59 17.75 311 228
2025/5/9 12:57:0 17.67 311 209
2025/5/9 12:57:1 17.79 311 215
2025/5/9 12:57:2 17.63 311 219
2025/5/9 12:57:4 17.51 311 222
2025/5/9 12:57:5 17.73 311 220
2025/5/9 12:57:6 17.59 311 205
2025/5/9 12:57:7 17.53 311 216
2025/5/9 12:57:8 17.73 311 228
2025/5/9 12:57:9 17.57 311 220
2025/5/9 12:57:10 17.53 311 211
2025/5/9 12:57:11 17.73 311 218
2025/5/9 12:57:12 17.51 311 208
2025/5/9 13:9:37 18.79 316 217
2025/5/9 13:9:38 18.85 316 209
2025/5/9 13:9:39 18.81 316 217
2025/5/9 13:9:40 18.63 316 221
2025/5/9 13:9:41 18.75 316 223
2025/5/9 13:9:42 18.69 316 215
2025/5/9 13:9:43 18.65 316 221
2025/5/9 13:9:44 18.71 316 202
2025/5/9 13:9:45 18.79 316 221
2025/5/9 13:9:47 18.63 316 217
2025/5/9 13:9:48 18.81 316 217
2025/5/9 13:9:49 18.79 316 213
2025/5/9 13:9:50 18.71 316 215
2025/5/9 13:9:51 18.81 316 226
2025/5/9 13:9:52 18.85 316 224
2025/5/9 13:9:53 18.71 316 216
2025/5/9 13:9:54 18.75 316 214
2025/5/9 13:9:55 18.69 316 214
2025/5/9 13:9:56 18.71 316 223
2025/5/9 13:9:57 18.75 316 221
2025/5/9 13:9:58 18.71 316 220
2025/5/9 13:9:59 18.63 316 216
2025/5/9 13:10:0 18.87 316 223
2025/5/9 13:10:1 18.59 316 206
2025/5/9 13:10:2 18.55 316 216
2025/5/9 13:10:3 18.65 316 216
2025/5/9 13:10:4 18.53 316 220
2025/5/9 13:10:5 18.71 316 218
2025/5/9 13:10:6 18.85 316 210
2025/5/9 13:10:8 18.75 316 212
2025/5/9 13:10:9 18.69 316 234
2025/5/9 13:10:10 18.65 316 220
2025/5/9 13:10:11 18.91 316 216
2025/5/9 13:10:12 18.75 316 232
2025/5/9 13:10:13 18.55 316 221
2025/5/9 13:10:14 18.79 316 220
2025/5/9 13:10:15 18.87 316 211
2025/5/9 13:10:16 18.69 316 224
2025/5/9 13:10:17 18.69 316 207
2025/5/9 13:10:18 18.71 316 206
2025/5/9 13:10:19 18.49 316 210
2025/5/9 13:10:20 18.87 316 210
2025/5/9 13:10:21 18.63 316 219
2025/5/9 13:10:22 18.75 316 221
2025/5/9 13:10:23 18.81 316 204
2025/5/9 13:10:24 18.79 316 211
2025/5/9 13:10:25 18.75 316 209
2025/5/9 13:10:26 18.71 316 222
2025/5/9 13:10:27 18.55 316 223
2025/5/9 13:10:29 18.69 316 231
2025/5/9 13:10:30 18.75 316 223
2025/5/9 13:10:31 18.85 316 215
2025/5/9 13:10:32 18.69 316 216
2025/5/9 13:10:33 18.71 316 221
2025/5/9 13:10:34 18.85 316 227
