Fecha Corriente(A) Rapidez(M/Min)
2025/1/22 9:58:27 2.42
2025/1/22 9:58:27 0.22
2025/1/22 9:58:27 0.12
2025/1/22 9:58:27 0.08
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.08
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.07
2025/1/22 9:58:27 0.08
2025/1/22 9:58:28 0.08
2025/1/22 9:58:28 0.07
2025/1/22 9:58:28 0.07
2025/1/22 9:58:28 0.08
2025/1/22 9:58:28 0.08
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.10
2025/1/22 9:58:29 0.08
2025/1/22 9:58:29 0.08
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.08
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.07
2025/1/22 9:58:29 0.08
2025/1/22 9:58:29 0.07
2025/1/22 9:58:29 0.08
2025/1/22 9:58:29 0.08
2025/1/22 9:58:29 0.07
2025/1/22 9:58:29 0.07
2025/1/22 9:58:30 0.08
2025/1/22 9:58:30 0.07
2025/1/22 9:58:30 0.08
2025/1/22 9:58:30 0.07
2025/1/22 9:58:30 0.09
2025/1/22 9:58:30 0.08
2025/1/22 9:58:30 0.10
2025/1/22 9:58:30 0.10
2025/1/22 9:58:30 0.11
2025/1/22 9:58:30 0.11
2025/1/22 9:58:30 0.10
2025/1/22 9:58:30 0.10
2025/1/22 9:58:30 0.11
2025/1/22 9:58:30 0.10
2025/1/22 9:58:31 0.08
2025/1/22 9:58:31 0.15
2025/1/22 9:58:31 0.18
2025/1/22 9:58:31 0.15
2025/1/22 9:58:31 0.14
2025/1/22 9:58:31 0.11
2025/1/22 9:58:31 0.10
2025/1/22 9:58:31 0.10
2025/1/22 9:58:31 0.08
2025/1/22 9:58:31 0.09
2025/1/22 9:58:31 0.14
2025/1/22 9:58:31 0.10
2025/1/22 9:58:31 0.10
2025/1/22 9:58:31 0.11
2025/1/22 9:58:32 0.12
2025/1/22 9:58:32 0.11
2025/1/22 9:58:32 0.11
2025/1/22 9:58:32 0.12
2025/1/22 9:58:32 0.13
2025/1/22 9:58:32 0.12
2025/1/22 9:58:32 0.10
2025/1/22 9:58:32 0.10
2025/1/22 9:58:32 0.10
2025/1/22 9:58:32 0.10
2025/1/22 9:58:32 0.11
2025/1/22 9:58:32 0.13
2025/1/22 9:58:32 0.14
2025/1/22 9:58:32 0.22
2025/1/22 9:58:33 1.16
2025/1/22 9:58:33 0.42
2025/1/22 9:58:33 0.34
2025/1/22 9:58:33 0.17
2025/1/22 9:58:33 0.07
2025/1/22 9:58:33 0.17
2025/1/22 9:58:33 0.17
2025/1/22 9:58:33 0.89
2025/1/22 9:58:33 0.70
2025/1/22 9:58:33 0.70
2025/1/22 9:58:33 0.52
2025/1/22 9:58:33 0.35
2025/1/22 9:58:33 0.71
2025/1/22 9:58:33 0.46
2025/1/22 9:58:34 0.09
2025/1/22 9:58:34 0.18
2025/1/22 9:58:34 0.17
2025/1/22 9:58:34 0.16
2025/1/22 9:58:34 0.19
2025/1/22 9:58:34 0.19
2025/1/22 9:58:34 0.01
2025/1/22 9:58:34 0.07
2025/1/22 9:58:34 0.13
2025/1/22 9:58:34 0.01
2025/1/22 9:58:34 0.17
2025/1/22 9:58:34 0.17
2025/1/22 9:58:34 0.18
2025/1/22 9:58:34 0.16
2025/1/22 9:58:35 0.16
2025/1/22 9:58:35 0.64
2025/1/22 9:58:35 0.19
2025/1/22 9:58:35 0.02
2025/1/22 9:58:35 0.16
2025/1/22 9:58:35 0.15
2025/1/22 9:58:35 0.18
