Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/5/9 11:24:14 -263.53 84.00 1
2025/5/9 11:24:14 -263.53 84.00 1
2025/5/9 11:24:15 -263.53 84.00 1
2025/5/9 11:24:15 -263.57 84.00 1
2025/5/9 11:24:15 -263.53 84.00 1
2025/5/9 11:24:15 -263.57 84.00 1
2025/5/9 11:24:16 -263.53 84.00 1
2025/5/9 11:24:16 -263.57 83.00 1
2025/5/9 11:24:16 -263.57 83.00 1
2025/5/9 11:24:16 -263.53 83.00 1
2025/5/9 11:24:16 -263.57 83.00 1
2025/5/9 11:24:17 -263.57 84.00 1
2025/5/9 11:24:17 -263.57 84.00 1
2025/5/9 11:24:17 -263.57 84.00 1
2025/5/9 11:24:17 -263.61 84.00 1
2025/5/9 11:24:18 -263.57 84.00 1
2025/5/9 11:24:18 -263.57 84.00 1
2025/5/9 11:24:18 -263.73 84.00 1
2025/5/9 11:24:18 -263.57 84.00 1
2025/5/9 11:24:19 -263.73 84.00 1
2025/5/9 11:24:19 -263.61 83.00 1
2025/5/9 11:24:19 -263.57 83.00 1
2025/5/9 11:24:19 -263.61 83.00 1
2025/5/9 11:24:20 -263.57 83.00 1
2025/5/9 11:24:20 -263.61 83.00 1
2025/5/9 11:24:20 -263.57 83.00 1
2025/5/9 11:24:20 -263.57 83.00 1
2025/5/9 11:24:20 -263.73 83.00 1
2025/5/9 11:24:21 -263.61 83.00 1
2025/5/9 11:24:21 -263.73 84.00 1
2025/5/9 11:24:21 -263.61 84.00 1
2025/5/9 11:24:21 -263.57 84.00 1
2025/5/9 11:24:22 -263.61 84.00 1
2025/5/9 11:24:22 -263.57 84.00 1
2025/5/9 11:24:22 -263.57 84.00 1
2025/5/9 11:24:22 -263.61 84.00 1
2025/5/9 11:24:23 -263.61 84.00 1
2025/5/9 11:24:23 -263.61 84.00 1
2025/5/9 11:24:23 -263.73 84.00 1
2025/5/9 11:24:23 -263.61 84.00 1
2025/5/9 11:24:24 -263.73 84.00 1
2025/5/9 11:24:24 -263.61 84.00 1
2025/5/9 11:24:24 -263.73 84.00 1
2025/5/9 11:24:24 -263.73 84.00 1
2025/5/9 11:24:25 -263.61 84.00 1
2025/5/9 11:24:25 -263.73 84.00 1
2025/5/9 11:24:25 -263.73 84.00 1
2025/5/9 11:24:25 -263.57 84.00 1
2025/5/9 11:24:25 -263.57 84.00 1
2025/5/9 11:24:26 -263.61 84.00 1
2025/5/9 11:24:26 -263.61 84.00 1
2025/5/9 11:24:26 -263.61 83.00 1
2025/5/9 11:24:26 -263.61 83.00 1
2025/5/9 11:24:27 -263.61 84.00 1
2025/5/9 11:24:27 -263.57 84.00 1
2025/5/9 11:24:27 -263.57 84.00 1
2025/5/9 11:24:27 -263.73 84.00 1
2025/5/9 11:24:28 -263.57 84.00 1
2025/5/9 11:24:28 -263.57 84.00 1
2025/5/9 11:24:28 -263.61 84.00 1
2025/5/9 11:24:28 -263.61 84.00 1
2025/5/9 11:24:29 -263.61 83.00 1
2025/5/9 11:24:29 -263.57 83.00 1
2025/5/9 11:24:29 -263.57 83.00 1
2025/5/9 11:24:29 -263.73 83.00 1
2025/5/9 11:24:29 -263.73 83.00 1
2025/5/9 11:24:30 -263.73 83.00 1
2025/5/9 11:24:30 -263.61 83.00 1
2025/5/9 11:24:30 -263.61 83.00 1
2025/5/9 11:24:30 -263.57 83.00 1
2025/5/9 11:24:31 -263.73 83.00 1
2025/5/9 11:24:31 -263.57 83.00 1
2025/5/9 11:24:31 -263.57 83.00 1
2025/5/9 11:24:31 -263.61 83.00 1
2025/5/9 11:24:32 -263.57 83.00 1
2025/5/9 11:24:32 -263.73 84.00 1
2025/5/9 11:24:32 -263.73 84.00 1
2025/5/9 11:24:32 -263.61 84.00 1
2025/5/9 11:24:33 -263.61 84.00 1
2025/5/9 11:24:33 -263.61 84.00 1
2025/5/9 11:24:33 -263.61 84.00 1
2025/5/9 11:24:33 -263.73 84.00 1
2025/5/9 11:24:33 -263.73 84.00 1
2025/5/9 11:24:34 -263.61 84.00 1
2025/5/9 11:24:34 -263.73 84.00 1
2025/5/9 11:24:34 -263.57 84.00 1
2025/5/9 11:24:34 -263.73 84.00 1
2025/5/9 11:24:35 -263.73 84.00 1
2025/5/9 11:24:35 -263.57 84.00 1
2025/5/9 11:24:35 -263.61 84.00 1
2025/5/9 11:24:35 -263.61 84.00 1
2025/5/9 11:24:36 -263.61 84.00 1
2025/5/9 11:24:36 -263.57 84.00 1
2025/5/9 11:24:36 -263.61 84.00 1
2025/5/9 11:24:36 -263.61 84.00 1
2025/5/9 11:24:37 -263.61 84.00 1
2025/5/9 11:24:37 -263.61 84.00 1
2025/5/9 11:24:37 -263.73 84.00 1
2025/5/9 11:24:37 -263.61 84.00 1
2025/5/9 11:24:37 -263.73 84.00 1
2025/5/9 11:24:38 -263.73 84.00 1
2025/5/9 11:24:38 -263.73 83.00 1
2025/5/9 11:24:38 -263.61 83.00 1
2025/5/9 11:24:38 -263.73 83.00 1
2025/5/9 11:24:39 -263.61 83.00 1
2025/5/9 11:24:39 -263.57 83.00 1
2025/5/9 11:24:39 -263.61 83.00 1
2025/5/9 11:24:39 -263.61 83.00 1
2025/5/9 11:24:40 -263.61 83.00 1
2025/5/9 11:24:40 -263.61 83.00 1
2025/5/9 11:24:40 -263.61 83.00 1
2025/5/9 11:24:40 -263.57 83.00 1
2025/5/9 11:24:41 -263.73 83.00 1
2025/5/9 11:24:41 -263.73 83.00 1
2025/5/9 11:24:41 -263.73 83.00 1
2025/5/9 11:24:41 -263.61 83.00 1
2025/5/9 11:24:41 -263.57 83.00 1
2025/5/9 11:24:42 -263.73 83.00 1
2025/5/9 11:24:42 -263.57 83.00 1
2025/5/9 11:24:42 -263.57 84.00 1
2025/5/9 11:24:42 -263.61 83.00 1
2025/5/9 11:24:43 -263.57 83.00 1
2025/5/9 11:24:43 -263.73 83.00 1
2025/5/9 11:24:43 -263.57 83.00 1
2025/5/9 11:24:43 -263.57 83.00 1
2025/5/9 11:24:44 -263.73 83.00 1
2025/5/9 11:24:44 -263.61 83.00 1
2025/5/9 11:24:44 -263.61 83.00 1
2025/5/9 11:24:44 -263.61 83.00 1
2025/5/9 11:24:45 -263.73 83.00 1
2025/5/9 11:24:45 -263.73 83.00 1
2025/5/9 11:24:45 -263.57 83.00 1
2025/5/9 11:24:45 -263.57 83.00 1
2025/5/9 11:24:45 -263.61 83.00 1
2025/5/9 11:24:46 -263.73 83.00 1
2025/5/9 11:24:46 -263.61 84.00 1
2025/5/9 11:24:46 -263.57 84.00 1
2025/5/9 11:24:46 -263.61 84.00 1
2025/5/9 11:24:47 -263.61 84.00 1
2025/5/9 11:24:47 -263.73 84.00 1
2025/5/9 11:24:47 -263.57 84.00 1
2025/5/9 11:24:47 -263.57 84.00 1
2025/5/9 11:24:48 -263.57 84.00 1
2025/5/9 11:24:48 -263.73 84.00 1
2025/5/9 11:24:48 -263.57 84.00 1
2025/5/9 11:24:48 -263.61 84.00 1
2025/5/9 11:24:49 -263.57 84.00 1
2025/5/9 11:24:49 -263.61 84.00 1
2025/5/9 11:24:49 -263.61 84.00 1
2025/5/9 11:24:49 -263.61 84.00 1
2025/5/9 11:24:50 -263.57 84.00 1
2025/5/9 11:24:50 -263.57 84.00 1
2025/5/9 11:24:50 -263.57 84.00 1
2025/5/9 11:24:50 -263.73 84.00 1
2025/5/9 11:24:50 -263.57 84.00 1
2025/5/9 11:24:51 -263.57 84.00 1
2025/5/9 11:24:51 -263.61 83.00 1
2025/5/9 11:24:51 -263.57 84.00 1
2025/5/9 11:24:51 -263.57 84.00 1
2025/5/9 11:24:52 -263.57 83.00 1
2025/5/9 11:24:52 -263.73 83.00 1
2025/5/9 11:24:52 -263.73 83.00 1
2025/5/9 11:24:52 -263.73 83.00 1
2025/5/9 11:24:53 -263.73 83.00 1
2025/5/9 11:24:53 -263.61 84.00 1
2025/5/9 11:24:53 -263.57 84.00 1
2025/5/9 11:24:53 -263.61 84.00 1
2025/5/9 11:24:54 -263.57 84.00 1
2025/5/9 11:24:54 -263.57 84.00 1
2025/5/9 11:24:54 -263.61 84.00 1
2025/5/9 11:24:54 -263.53 84.00 1
2025/5/9 11:24:54 -263.61 83.00 1
2025/5/9 11:24:55 -263.57 83.00 1
